Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
11,0.0030082,0.0002841549,0.006645261,0,356.1996,0,-0.006733951,1.482307,-0.1760701,355.3326,354.6447,3.569306,-0.08128054,1.408481,-0.1804105,56.15611,35.71859,119.7046,0.06649997,1.417666,-0.1621979,59.97484,317.3549,238.5749,-0.2612159,0.9066812,-0.05630179,359.3312,110.6559,160.1154,0.2693558,0.9122795,-0.08834822,1.074944,240.8038,191.4195,-0.2599066,1.129951,-0.1272405,6.858138,111.1818,163.7203,0.2563812,1.142233,-0.1310524,7.510994,244.1105,188.0377,-0.1083387,0.1211302,0.2320025,285.567,337.1918,186.4537,0.1225819,0.1259856,0.2178899,285.8762,3.351731,180.2149,-0.1054287,0.5013948,0.2055807,356.0072,356.8036,179.7847,0.1238107,0.5058833,0.1836755,354.8645,353.6945,180.381,-0.08874314,0.8921142,0.06739944,340.4403,357.2699,178.6068,0.1136579,0.9072297,0.08034453,345.7839,353.9247,182.908
12,0.00336983,0.0005068828,0.007062965,0,355.794,0,-0.00541403,1.482473,-0.1756919,356.1525,354.368,3.503358,-0.07992513,1.408642,-0.1805368,56.26139,35.02753,119.5971,0.06773434,1.417854,-0.16138,59.99312,317.1013,238.6823,-0.2596459,0.9084088,-0.05174522,359.5782,110.7902,159.4066,0.2704829,0.9125729,-0.08744086,1.038132,240.1462,191.2401,-0.2585764,1.130731,-0.1256039,7.109922,111.2204,163.008,0.2577669,1.142643,-0.1295918,7.484816,243.4294,187.8545,-0.1094531,0.121327,0.2316697,285.5863,337.3071,186.2785,0.1213212,0.1259535,0.2176803,285.9516,3.561756,179.9864,-0.1053062,0.5016111,0.2056951,356.0662,357.1123,179.5742,0.1227656,0.5058776,0.1837661,354.9084,353.295,180.3793,-0.08871845,0.892265,0.06731669,340.417,357.4756,178.5526,0.1135857,0.90753,0.08153877,345.9564,353.3265,182.9033
13,0.003671482,0.0007409443,0.007387511,0,355.4232,0,-0.00436464,1.482641,-0.1753918,356.9438,354.1131,3.471306,-0.07880238,1.408769,-0.1807043,56.35211,34.41733,119.5215,0.06873875,1.418081,-0.1607029,60.02954,316.9019,238.8086,-0.2580025,0.9099513,-0.04773468,359.7642,110.8608,158.7681,0.2713761,0.912936,-0.08693797,0.9838325,239.5894,191.0597,-0.2572188,1.131403,-0.1241674,7.296992,111.1889,162.3627,0.2588897,1.14313,-0.1284745,7.441153,242.849,187.6694,-0.1104712,0.1215594,0.2313612,285.5884,337.5533,185.9903,0.1202164,0.1259528,0.2173168,286.0353,3.708189,179.8101,-0.1052222,0.5018556,0.2057644,356.1175,357.391,179.387,0.1218817,0.5059138,0.1838296,354.9705,352.9768,180.3668,-0.08869813,0.8924506,0.06721248,340.3962,357.6441,178.5059,0.1135103,0.9078397,0.08261329,346.1113,352.8376,182.8934
14,0.003934295,0.001007191,0.007644121,0,355.048,0,-0.003470779,1.48283,-0.175142,357.7964,353.856,3.46821,-0.07779112,1.408878,-0.1809365,56.43127,33.84594,119.4893,0.06962283,1.418371,-0.1600997,60.0878,316.7321,238.9624,-0.2564222,0.9112477,-0.04445908,359.9112,110.7681,158.2503,0.2716882,0.9133391,-0.08694129,0.8499547,239.0945,190.875,-0.2556698,1.131971,-0.1229725,7.434016,110.9693,161.8327,0.2596397,1.143701,-0.1276702,7.318285,242.329,187.4754,-0.1114904,0.1218548,0.2310626,285.5775,337.8197,185.6964,0.1191199,0.1260096,0.2169506,286.116,3.874012,179.6257,-0.1052181,0.5021586,0.2058125,356.1658,357.6289,179.215,0.1210979,0.5060064,0.183888,355.0296,352.7438,180.3326,-0.08865772,0.8926843,0.06706928,340.3706,357.7534,178.4652,0.1134451,0.9081994,0.08368102,346.2622,352.4286,182.8745
15,0.004105929,0.001241878,0.007786341,0,354.7473,0,-0.002869518,1.482995,-0.1749933,358.5287,353.6516,3.486325,-0.07706469,1.408951,-0.1811852,56.48214,33.43623,119.5062,0.07024156,1.418645,-0.1596901,60.15625,316.6331,239.1138,-0.2552916,0.9119784,-0.04262461,-0.004087015,110.5236,157.9872,0.2712825,0.9136719,-0.08748857,0.6511697,238.7784,190.731,-0.2542221,1.132314,-0.1222146,7.499713,110.6017,161.5547,0.2598416,1.144212,-0.1273728,7.128134,241.9925,187.3189,-0.1123062,0.1221447,0.230843,285.568,338.0256,185.4742,0.1182174,0.1261164,0.2167837,286.1634,3.997815,179.4626,-0.1053396,0.5024527,0.2058407,356.2005,357.7504,179.1012,0.1205662,0.5061302,0.1839423,355.0562,352.6288,180.283,-0.08860528,0.892906,0.06691477,340.3427,357.7577,178.4408,0.1134054,0.9085268,0.08451916,346.3763,352.1861,182.8499
16,0.004296029,0.001631605,0.007869783,0,354.2931,0,-0.002083666,1.483246,-0.1749353,359.7108,353.3516,3.530517,-0.07605983,1.409043,-0.1817492,56.53655,32.88012,119.5754,0.07107437,1.419091,-0.1592611,60.28481,316.5448,239.3897,-0.2536255,0.9127281,-0.04080736,0.07312147,109.9553,157.7562,0.2700754,0.9142178,-0.08905745,0.262188,238.4596,190.5186,-0.2517182,1.13271,-0.1213558,7.523055,109.7783,161.2895,0.2597436,1.145063,-0.1274559,6.751962,241.6427,187.0828,-0.1135712,0.1226787,0.2305626,285.5491,338.3304,185.1329,0.1166584,0.1263993,0.2168816,286.1912,4.3846,179.0823,-0.1057641,0.5029904,0.2058673,356.2428,357.815,178.9689,0.119859,0.5064059,0.1840289,355.038,352.6613,180.1535,-0.08854124,0.8932906,0.06657146,340.2816,357.6302,178.4183,0.1133161,0.909085,0.08571294,346.5308,351.9913,182.7897
17,0.004407017,0.001966355,0.007800046,0,353.938,0,-0.001566536,1.483442,-0.1750562,0.7048081,353.1396,3.57491,-0.07535124,1.409102,-0.1823804,56.55392,32.52089,119.6869,0.0716407,1.419457,-0.1591146,60.42003,316.5729,239.6772,-0.2520413,0.9129251,-0.04033104,0.02311934,109.2486,157.7112,0.2689165,0.9147609,-0.09104121,359.9088,238.4424,190.3446,-0.2492907,1.132857,-0.1209893,7.406237,108.7934,161.2067,0.2594433,1.145862,-0.1280988,6.408984,241.5998,186.8878,-0.1145556,0.123178,0.2303931,285.5323,338.5223,184.9081,0.1153641,0.1267487,0.2174037,286.1552,4.766783,178.7144,-0.1062307,0.5034912,0.2058893,356.2681,357.7929,178.8914,0.1193862,0.5067066,0.1840809,354.9518,352.7811,180.0296,-0.08850738,0.8936211,0.06617993,340.2123,357.4452,178.4142,0.1132152,0.9095851,0.08656113,346.6395,351.9235,182.7391
18,0.004525363,0.002296282,0.007668295,0,353.6125,0,-0.001101024,1.483663,-0.1751272,1.669318,352.9678,3.613206,-0.07470858,1.409206,-0.1829639,56.56558,32.25657,119.8418,0.07214764,1.41983,-0.1589736,60.59143,316.7002,240.0101,-0.2504701,0.9129034,-0.04046149,359.9,108.3753,157.7588,0.2681555,0.9154587,-0.09339788,359.5859,238.6137,190.1447,-0.2467881,1.132946,-0.1207798,7.19526,107.5877,161.2121,0.2592656,1.146802,-0.129059,6.097588,241.7429,186.6688,-0.1154104,0.123632,0.2301141,285.5253,338.7097,184.7017,0.1141337,0.1271194,0.2180894,286.0844,5.102236,178.3601,-0.1065792,0.5039495,0.2058555,356.3021,357.7971,178.8137,0.1189394,0.5070003,0.1840047,354.823,352.8406,179.9219,-0.08845681,0.8939125,0.06573194,340.1443,357.2899,178.4144,0.1131287,0.9100757,0.0872786,346.7496,351.8176,182.6986
19,0.004525363,0.002296282,0.007668295,0,353.6125,0,-0.001101024,1.483663,-0.1751272,1.669318,352.9678,3.613206,-0.07470858,1.409206,-0.1829639,56.56558,32.25657,119.8418,0.07214764,1.41983,-0.1589736,60.59143,316.7002,240.0101,-0.2504701,0.9129034,-0.04046149,359.9,108.3753,157.7588,0.2681555,0.9154587,-0.09339788,359.5859,238.6137,190.1447,-0.2467881,1.132946,-0.1207798,7.19526,107.5877,161.2121,0.2592656,1.146802,-0.129059,6.097588,241.7429,186.6688,-0.1154104,0.123632,0.2301141,285.5253,338.7097,184.7017,0.1141337,0.1271194,0.2180894,286.0844,5.102236,178.3601,-0.1065792,0.5039495,0.2058555,356.3021,357.7971,178.8137,0.1189394,0.5070003,0.1840047,354.823,352.8406,179.9219,-0.08845681,0.8939125,0.06573194,340.1443,357.2899,178.4144,0.1131287,0.9100757,0.0872786,346.7496,351.8176,182.6986
20,0.004525363,0.002296282,0.007668295,0,353.6125,0,-0.001101024,1.483663,-0.1751272,1.669318,352.9678,3.613206,-0.07470858,1.409206,-0.1829639,56.56558,32.25657,119.8418,0.07214764,1.41983,-0.1589736,60.59143,316.7002,240.0101,-0.2504701,0.9129034,-0.04046149,359.9,108.3753,157.7588,0.2681555,0.9154587,-0.09339788,359.5859,238.6137,190.1447,-0.2467881,1.132946,-0.1207798,7.19526,107.5877,161.2121,0.2592656,1.146802,-0.129059,6.097588,241.7429,186.6688,-0.1154104,0.123632,0.2301141,285.5253,338.7097,184.7017,0.1141337,0.1271194,0.2180894,286.0844,5.102236,178.3601,-0.1065792,0.5039495,0.2058555,356.3021,357.7971,178.8137,0.1189394,0.5070003,0.1840047,354.823,352.8406,179.9219,-0.08845681,0.8939125,0.06573194,340.1443,357.2899,178.4144,0.1131287,0.9100757,0.0872786,346.7496,351.8176,182.6986
