Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
11,-0.0208815,-0.01488176,0.04379385,0,1.241858,0,-0.0302646,1.325476,-0.1242427,358.985,325.2242,351.9361,-0.1084987,1.257774,-0.124322,72.0156,32.12598,121.6053,0.04056544,1.252349,-0.1266885,67.96506,319.3221,245.4255,-0.4170365,1.24988,0.1113308,15.04868,74.54224,32.50173,0.09303302,1.229745,0.1963196,20.55984,243.0882,324.3041,-0.4021398,1.061083,-0.0265726,11.429,67.86245,34.6954,0.1934284,1.052045,0.08136743,13.22199,244.7434,321.1935,-0.2821934,0.1758775,0.3096323,306.8048,351.4161,196.4365,0.2922494,0.07837883,-0.05295715,287.756,50.38818,184.2508,-0.1691295,0.5111259,0.4515228,24.33867,5.251216,164.8532,0.3103517,0.4021872,0.1478288,22.81281,52.65076,202.9337,-0.1342002,0.7357197,0.1045765,306.1122,22.26055,156.7458,0.06260346,0.7214386,0.05531588,328.3635,27.57394,205.2417
12,-0.02518478,-0.01807997,0.05056163,0,1.981656,0,-0.03566827,1.320253,-0.1178851,358.6984,324.9995,352.0229,-0.1141111,1.252827,-0.1168292,71.93444,31.90333,120.9062,0.0348981,1.246864,-0.1208105,67.49478,319.2681,244.72,-0.4225727,1.242834,0.1168917,16.01355,74.37681,32.90015,0.08676411,1.223955,0.2027592,20.40244,243.1118,324.1458,-0.4097294,1.05536,-0.02300813,12.43258,67.64549,34.96949,0.1867857,1.046541,0.08704238,13.07068,244.7835,321.0353,-0.2867899,0.1847862,0.317023,309.4037,352.1314,196.9058,0.2929331,0.07861634,-0.05490221,287.7875,50.10233,184.6427,-0.1703324,0.5154759,0.4666549,25.89937,5.763091,164.6599,0.3128406,0.4016146,0.1470145,22.75452,53.74069,203.327,-0.1389456,0.7315696,0.1140183,304.9665,24.12796,155.3798,0.05689674,0.7162783,0.06134761,327.7705,28.80248,206.1963
13,-0.02988828,-0.02155608,0.05790898,0,2.795499,0,-0.0416181,1.314551,-0.1108731,358.3916,324.7551,352.1256,-0.1202652,1.247422,-0.1085644,71.84322,31.69815,120.1702,0.02866147,1.240885,-0.1143331,66.98453,319.2495,243.9803,-0.4284829,1.235211,0.123045,17.06314,74.23442,33.32677,0.07996494,1.217677,0.2098196,20.24022,243.1582,323.9782,-0.4179215,1.04922,-0.01900819,13.52325,67.4455,35.25901,0.1795595,1.040572,0.09326462,12.91498,244.8474,320.868,-0.2913692,0.194609,0.3249992,312.2017,352.8837,197.4271,0.2931101,0.07899076,-0.05751697,287.8544,49.82998,185.0495,-0.1713719,0.5201821,0.4828301,27.58343,6.322469,164.4973,0.3152093,0.4010555,0.1456589,22.70808,54.94917,203.7523,-0.1440523,0.7270341,0.124361,303.7595,26.23518,153.8238,0.05066977,0.7106466,0.06799592,327.1366,30.14318,207.2424
14,-0.03618791,-0.02478629,0.06587707,0,4.040886,0,-0.05080917,1.309793,-0.102281,358.2491,324.4735,352.5576,-0.1293662,1.242703,-0.09804479,71.81767,32.63075,120.0458,0.01939168,1.236058,-0.1071044,66.7849,320.1921,243.6215,-0.4350835,1.229364,0.131202,18.38107,74.20753,33.11514,0.07308679,1.211563,0.216442,20.27645,243.5408,323.4876,-0.4289025,1.043584,-0.01138579,14.80687,67.39164,34.89068,0.1722918,1.035687,0.09771417,12.96645,245.2922,320.3961,-0.2981904,0.1998837,0.3359599,313.0997,354.6495,196.4551,0.2944495,0.07943977,-0.06026841,287.8676,49.26023,185.8193,-0.1743988,0.5221223,0.4976563,28.51177,6.706584,164.1579,0.317084,0.4015776,0.1427327,22.24469,56.19355,204.1546,-0.1498802,0.7228783,0.1355375,303.1411,28.22189,152.2933,0.0433993,0.7054326,0.07470241,326.4551,31.63182,208.427
15,-0.04284455,-0.02819603,0.07429206,0,5.357681,0,-0.06049648,1.30474,-0.09305566,358.1243,324.1755,353.0146,-0.138908,1.237694,-0.08679102,71.79532,33.62689,119.9241,0.009592138,1.230933,-0.09932678,66.57765,321.1871,243.2396,-0.4417882,1.223234,0.139958,19.79473,74.2099,32.89883,0.0658001,1.205072,0.2235432,20.3212,243.9501,322.9704,-0.4403707,1.037826,-0.003239438,16.18456,67.36094,34.50477,0.1645622,1.030508,0.102531,13.02777,245.7671,319.8989,-0.3049461,0.2055085,0.3476216,314.054,356.4244,195.5272,0.2951733,0.08016641,-0.06403693,287.926,48.58417,186.7271,-0.1772747,0.524214,0.5132557,29.4792,7.109549,163.825,0.3184878,0.4022056,0.1390436,21.78309,57.52964,204.6051,-0.155945,0.7184538,0.1474005,302.5019,30.3685,150.6392,0.03569211,0.6998935,0.08187963,325.7535,33.19456,209.6928
16,-0.05114829,-0.03082587,0.08345567,0,7.141411,0,-0.07315277,1.301435,-0.08176868,358.2561,323.9722,353.7886,-0.1510822,1.234303,-0.07287022,71.95315,35.58342,120.1372,-0.003088452,1.227632,-0.09043433,66.80775,323.3738,243.4525,-0.4509401,1.221217,0.1533966,21.10294,74.02407,32.10234,0.05796444,1.199701,0.2299989,20.81115,244.5387,322.1014,-0.4544882,1.034936,0.01137463,17.39166,67.18195,33.56686,0.1572243,1.027624,0.1058708,13.5452,246.4717,319.0794,-0.3142142,0.2053966,0.3636796,313.2002,358.2469,193.0883,0.2966459,0.08060609,-0.06732038,287.9183,48.2473,187.3282,-0.1821022,0.5234295,0.5271098,29.23044,6.821109,162.9503,0.3183211,0.4039227,0.1339035,20.81136,58.76076,204.9345,-0.162522,0.7148842,0.159692,302.517,32.23912,149.1707,0.027063,0.6954419,0.08868667,325.0657,34.87291,210.9336
17,-0.05931748,-0.03340199,0.09246165,0,8.896168,0,-0.08552669,1.298162,-0.07046396,358.4443,323.7715,354.5357,-0.1628873,1.230939,-0.05900843,72.1117,37.54006,120.3787,-0.01555737,1.224375,-0.08150171,67.04597,325.537,243.6741,-0.4594963,1.219311,0.1667942,22.432,73.83245,31.28184,0.05019221,1.194317,0.2364224,21.29287,245.109,321.2263,-0.4681625,1.032284,0.02597744,18.61732,66.99728,32.60415,0.1498522,1.024774,0.1091674,14.05608,247.159,318.2556,-0.3230323,0.2052698,0.379693,312.3746,0.1051093,190.625,0.2975427,0.08143685,-0.07157464,287.9564,47.69642,188.1456,-0.1866373,0.5227115,0.5407366,28.94308,6.548892,162.1038,0.3174673,0.4057139,0.12828,19.87713,59.97971,205.3108,-0.1688875,0.7113321,0.1717631,302.5359,34.07799,147.7307,0.01852312,0.691042,0.09542298,324.4047,36.50219,212.1751
18,-0.0707975,-0.03599901,0.1043904,0,11.33184,0,-0.103045,1.295477,-0.05449527,358.8321,323.5918,355.6454,-0.1793624,1.2281,-0.0397019,72.5056,40.46772,120.7262,-0.03325593,1.221728,-0.0691544,67.77133,329.2884,244.6316,-0.4752823,1.220824,0.1917519,23.12402,73.2327,30.36278,0.03871239,1.188515,0.2432359,22.48908,245.6188,319.8663,-0.4863138,1.032447,0.05291322,19.20216,66.4397,31.62877,0.1407973,1.023276,0.1122964,15.29975,247.8575,316.9983,-0.3363285,0.199726,0.4040172,310.2478,2.800237,185.9977,0.3004945,0.08286087,-0.0759661,287.8104,46.74509,189.3564,-0.194693,0.5194781,0.5556939,27.30149,5.724091,160.73,0.3146355,0.4086875,0.1218508,18.30705,61.16199,205.8753,-0.1769408,0.7071814,0.1862531,302.9878,35.82075,146.2207,0.007633403,0.6866565,0.1033475,323.6791,38.18771,213.6742
19,-0.08166866,-0.03835183,0.1156105,0,13.6324,0,-0.1194743,1.293042,-0.03908492,359.3049,323.4266,356.6722,-0.1946407,1.225496,-0.02122799,72.88557,43.32148,121.1229,-0.04999376,1.21936,-0.05721057,68.50419,333.0153,245.7165,-0.4899117,1.22279,0.2161722,23.62371,72.61387,29.4326,0.02759317,1.182939,0.2495712,23.64981,246.0171,318.4967,-0.5027475,1.032956,0.0794905,19.59592,65.87437,30.66878,0.1319958,1.0221,0.1150293,16.51182,248.4476,315.7384,-0.348814,0.1942223,0.4275569,308.2483,5.605356,181.244,0.302908,0.08489347,-0.08116525,287.7296,45.48055,190.8551,-0.2023948,0.5163105,0.5694321,25.56148,4.981139,159.4918,0.3110294,0.4116688,0.1154219,16.82452,62.21943,206.491,-0.1844086,0.7032589,0.1996201,303.4521,37.37548,144.8515,-0.002675653,0.6826412,0.1106804,323.0281,39.68835,215.1006
20,-0.09496436,-0.04065013,0.1294543,0,16.29076,0,-0.1400312,1.290773,-0.02096057,359.7293,323.1862,357.8786,-0.2135917,1.222988,0.0004099607,73.29095,46.29251,121.0804,-0.07100837,1.217224,-0.04308631,69.33445,337.6669,247.0833,-0.5153782,1.224945,0.2583556,22.0515,72.28619,30.59193,0.01312632,1.175399,0.2546549,25.18683,246.2381,316.7433,-0.5203417,1.036146,0.1197413,18.16139,65.53046,31.98928,0.1209286,1.020357,0.1160502,18.11964,248.9194,314.1401,-0.3643358,0.1840464,0.4573341,305.8468,9.366365,175.0743,0.308302,0.09036416,-0.08360499,289.0876,41.80836,194.1865,-0.214085,0.5108319,0.5836027,22.74047,4.214335,158.3614,0.3072143,0.4171804,0.1130788,15.34106,62.56387,207.3198,-0.1927129,0.6984485,0.2143095,304.0995,38.17213,143.7882,-0.01371593,0.6795165,0.1196315,322.2212,40.47418,216.8093
