Frame,Overall_X,Overall_Y,Overall_Z,Overall_RotX,Overall_RotY,Overall_RotZ,Head_X,Head_Y,Head_Z,Head_RotX,Head_RotY,Head_RotZ,LeftShoulder_X,LeftShoulder_Y,LeftShoulder_Z,LeftShoulder_RotX,LeftShoulder_RotY,LeftShoulder_RotZ,RightShoulder_X,RightShoulder_Y,RightShoulder_Z,RightShoulder_RotX,RightShoulder_RotY,RightShoulder_RotZ,LeftHand_X,LeftHand_Y,LeftHand_Z,LeftHand_RotX,LeftHand_RotY,LeftHand_RotZ,RightHand_X,RightHand_Y,RightHand_Z,RightHand_RotX,RightHand_RotY,RightHand_RotZ,LeftElbow_X,LeftElbow_Y,LeftElbow_Z,LeftElbow_RotX,LeftElbow_RotY,LeftElbow_RotZ,RightElbow_X,RightElbow_Y,RightElbow_Z,RightElbow_RotX,RightElbow_RotY,RightElbow_RotZ,LeftFoot_X,LeftFoot_Y,LeftFoot_Z,LeftFoot_RotX,LeftFoot_RotY,LeftFoot_RotZ,RightFoot_X,RightFoot_Y,RightFoot_Z,RightFoot_RotX,RightFoot_RotY,RightFoot_RotZ,LeftKnee_X,LeftKnee_Y,LeftKnee_Z,LeftKnee_RotX,LeftKnee_RotY,LeftKnee_RotZ,RightKnee_X,RightKnee_Y,RightKnee_Z,RightKnee_RotX,RightKnee_RotY,RightKnee_RotZ,LeftHip_X,LeftHip_Y,LeftHip_Z,LeftHip_RotX,LeftHip_RotY,LeftHip_RotZ,RightHip_X,RightHip_Y,RightHip_Z,RightHip_RotX,RightHip_RotY,RightHip_RotZ
11,-0.05046156,0.09652195,-0.1154891,0,357.3925,0,-0.1555278,1.435637,-0.1944666,4.331027,357.5813,4.857763,-0.2210244,1.35702,-0.2111168,64.38039,81.75052,181.6089,-0.07317458,1.375211,-0.2030751,78.6081,278.4481,195.7831,-0.657556,1.117485,-0.01089462,51.40277,115.1023,129.6387,0.41258,1.352678,0.05661889,61.00217,168.268,147.1471,-0.583105,1.202118,-0.2162672,57.33518,107.2513,132.0162,0.309775,1.402601,-0.1478544,70.11851,153.7914,128.8063,0.1274315,0.1571603,0.2497801,313.0265,350.0438,220.6926,0.1273572,0.194131,-0.2500327,337.7981,17.87274,180.5865,0.004191957,0.5010523,0.1408853,337.7671,17.26883,192.9396,0.2019896,0.4779427,-0.006361924,41.7952,22.42644,183.6032,-0.1421692,0.7926477,-0.1152098,318.3752,1.204999,199.8653,0.05368279,0.8406507,-0.1416664,335.1941,14.24596,195.4518
12,-0.05588571,0.1039005,-0.1350419,0,356.7218,0,-0.1545568,1.446576,-0.2032076,5.834141,356.4546,4.490543,-0.2204498,1.369224,-0.2233042,63.63867,85.40159,185.4353,-0.07253663,1.385656,-0.2129672,76.87382,266.8215,184.3442,-0.6395357,1.109963,-0.008561254,49.36343,116.9402,127.8083,0.4098874,1.314972,0.04832867,64.70142,179.1858,158.9133,-0.5737523,1.199046,-0.2150082,54.89393,108.1185,131.3918,0.3138667,1.380619,-0.1549961,71.08624,173.7139,149.835,0.1054255,0.1570024,0.1636878,318.6613,346.7999,218.9245,0.1318509,0.1909551,-0.2603866,336.0269,12.11558,181.3581,-0.01016122,0.5178783,0.122263,349.0902,14.78927,195.393,0.1821538,0.4831572,-0.02042391,39.86066,17.51123,183.6422,-0.1516397,0.8027732,-0.1439189,317.8393,356.8373,202.0854,0.04575343,0.8468851,-0.1651871,335.1118,11.33342,194.7135
13,-0.06115596,0.1109671,-0.1541089,0,356.0721,0,-0.1540701,1.455847,-0.2114774,7.276554,355.3594,4.137782,-0.2202503,1.379796,-0.234855,62.74471,88.68683,188.9167,-0.07232313,1.39454,-0.2223921,75.36561,258.0957,175.782,-0.620416,1.101371,-0.007212713,47.27215,118.4501,125.8047,0.405165,1.282425,0.03697555,67.15005,192.1745,171.6212,-0.5628842,1.194684,-0.2142545,52.38134,108.7686,130.7331,0.3149799,1.361543,-0.1642147,69.80611,191.4707,168.0822,0.09027277,0.1712257,0.07522513,324.2137,344.2818,216.7411,0.1347418,0.1875139,-0.2675015,334.2084,6.541227,182.179,-0.02392925,0.5337748,0.1039283,0.1588109,13.61937,197.9928,0.1624371,0.4879795,-0.03416067,37.87439,12.77108,183.6934,-0.160695,0.8121096,-0.1714969,317.3424,352.9169,204.1486,0.0379934,0.8522955,-0.1879362,334.9099,8.557705,193.9836
14,-0.06665163,0.1137401,-0.1735157,0,355.428,0,-0.1526817,1.460953,-0.2216706,8.510633,354.3853,3.643185,-0.2194672,1.386395,-0.2474213,62.00498,90.80639,190.962,-0.07145725,1.398883,-0.2335559,73.41422,253.5087,171.3102,-0.6018112,1.090816,-0.007044867,45.31586,119.2807,123.3756,0.4014915,1.242337,0.02245514,68.5535,202.5106,181.6793,-0.5503565,1.187924,-0.213941,49.99121,108.8984,130.1465,0.313582,1.334791,-0.1740002,66.75319,203.8534,179.7666,0.06488176,0.1862831,-0.02316138,331.929,345.6743,210.8751,0.1380592,0.1847344,-0.2748607,332.4918,2.85041,183.1314,-0.04119365,0.5373129,0.08092479,12.14553,13.90442,199.6172,0.1448608,0.4903477,-0.04671863,36.50917,9.347073,184.5625,-0.1688274,0.8172095,-0.1972867,317.9275,350.2778,204.6185,0.03074238,0.8550273,-0.2074828,334.8676,5.568804,193.6709
15,-0.07234069,0.1165134,-0.1935952,0,354.7632,0,-0.1512784,1.46519,-0.2322459,9.767604,353.3593,3.116465,-0.2186279,1.392219,-0.2603955,61.16994,92.82576,192.9338,-0.070576,1.40239,-0.2451518,71.33328,249.7877,167.6855,-0.5805168,1.07943,-0.007940412,43.20476,120.1266,120.8419,0.3943181,1.199799,0.004193887,69.08329,213.8749,192.2006,-0.535569,1.18059,-0.2144102,47.40981,109.1048,129.6474,0.3092076,1.306444,-0.1862097,62.61879,213.2377,188.1422,0.04105479,0.2184731,-0.1211697,340.0169,346.8732,205.5534,0.1396896,0.1812994,-0.2806138,330.6225,359.1021,184.0337,-0.05908892,0.5403625,0.05678068,24.35421,15.10521,202.042,0.1261828,0.4922524,-0.06011368,35.03642,5.767768,185.3549,-0.1769422,0.8219754,-0.224002,318.5126,347.6372,204.9919,0.02332869,0.8571849,-0.2277582,334.7642,2.518881,193.3025
16,-0.07843564,0.1141169,-0.2144064,0,353.998,0,-0.1495277,1.464855,-0.2421254,10.62008,352.3802,2.389274,-0.217591,1.39344,-0.2720962,60.43123,94.45878,194.4041,-0.06948568,1.401207,-0.2559828,69.15378,247.692,165.42,-0.5551812,1.069659,-0.003250733,41.3858,120.6839,116.4773,0.3909892,1.153496,-0.02282973,67.35484,220.4537,196.1664,-0.5191938,1.171637,-0.2110701,44.9962,109.0863,127.9928,0.3027278,1.274379,-0.2030175,58.23121,219.4705,191.4269,0.006850079,0.2482321,-0.2224294,349.7084,349.5981,200.8685,0.1407363,0.1776139,-0.2910185,328.424,357.8195,184.5063,-0.08113682,0.5273325,0.02184311,36.43019,17.68568,204.4933,0.1076505,0.4896148,-0.07409635,34.52563,3.325312,186.8679,-0.1840328,0.8213185,-0.2520525,320.642,346.0881,203.5514,0.01641218,0.8553131,-0.2467224,334.9601,358.8974,193.1827
17,-0.08433903,0.1115099,-0.2345261,0,353.2548,0,-0.1478591,1.463413,-0.2517017,11.41003,351.4332,1.664523,-0.2165796,1.393524,-0.2833717,59.68191,95.94277,195.7455,-0.06845478,1.398988,-0.2665092,67.04017,246.0745,163.5956,-0.5289143,1.060669,0.000328213,39.59667,121.2388,112.1852,0.3844249,1.108245,-0.05291927,65.26209,224.9224,197.8611,-0.5018384,1.163175,-0.2085809,42.58418,109.1797,126.4604,0.2939138,1.243605,-0.2213115,53.66624,223.9587,192.7593,-0.02349686,0.2898419,-0.3116013,359.4472,351.5772,197.55,0.1398647,0.1731802,-0.3000304,326.0718,356.7368,184.7427,-0.1021604,0.5141481,-0.01359698,47.79557,21.84458,208.8444,0.0889126,0.4862395,-0.08815241,33.98313,0.926047,188.1948,-0.1904958,0.8200877,-0.2793638,322.7307,344.614,202.0458,0.009750202,0.8526667,-0.2651375,335.0992,355.4183,192.9705
18,-0.09036367,0.104904,-0.252933,0,352.5202,0,-0.1482949,1.45731,-0.2581652,11.83626,350.7448,1.314908,-0.2171364,1.388252,-0.2912253,59.26925,98.05064,197.7384,-0.06901206,1.392868,-0.2741076,65.77134,243.9173,160.7076,-0.4950969,1.070516,0.01319638,38.39461,118.4854,105.9175,0.3806953,1.071636,-0.08745882,61.30162,224.6716,193.815,-0.4918996,1.157039,-0.2044891,40.30582,108.8595,118.9667,0.2858409,1.218695,-0.2431729,50.07207,226.8395,191.9993,-0.06268238,0.3211074,-0.3920685,8.746619,352.1741,191.1331,0.1402918,0.1696315,-0.312049,323.7598,356.2733,185.0395,-0.1307724,0.4888337,-0.05659948,59.10596,23.55194,211.0239,0.07588118,0.4798256,-0.09962182,34.45613,359.628,189.5114,-0.1945269,0.8147049,-0.3051503,325.7999,344.0501,198.2078,0.004892394,0.8460602,-0.2804315,335.1506,352.2635,193.2025
19,-0.0969337,0.09762384,-0.2729651,0,351.7196,0,-0.1490891,1.449605,-0.2650525,12.28605,349.9974,0.9408335,-0.2180274,1.381447,-0.2996034,58.75765,100.2737,199.8493,-0.06990855,1.385205,-0.2822296,64.38719,241.8134,157.782,-0.4580536,1.083457,0.02287796,36.35497,115.8239,99.44726,0.3739925,1.032798,-0.1280873,56.73524,224.5721,189.4299,-0.4805209,1.149895,-0.2006501,37.64639,108.9265,110.9875,0.2753191,1.192514,-0.2681768,46.09718,229.5814,190.4975,-0.0981474,0.3661404,-0.4703721,19.37667,352.0396,184.6953,0.1387784,0.1646923,-0.3242208,321.0858,355.7238,185.2515,-0.1607626,0.4628001,-0.1069935,71.33531,29.32448,217.5953,0.06029788,0.4719347,-0.1122362,34.9074,358.1609,190.8249,-0.1986823,0.8084437,-0.3331057,329.26,343.2297,194.1718,-0.0007232428,0.8379809,-0.2970223,335.1457,348.8862,193.318
20,-0.1057155,0.09187394,-0.2918376,0,351.0549,0,-0.1529953,1.443566,-0.2714038,12.57914,349.6461,1.273721,-0.2214559,1.375333,-0.306555,58.23878,101.9572,201.2743,-0.07330504,1.379941,-0.2896658,64.22102,240.0646,155.022,-0.425556,1.11286,0.03123567,33.99343,110.1339,87.15079,0.3687027,1.008604,-0.1710784,53.04079,224.2437,186.796,-0.4750875,1.147609,-0.1950887,35.13905,108.4044,100.4504,0.2659242,1.178961,-0.2947132,42.7695,231.1738,187.822,-0.1426364,0.3998727,-0.5376865,27.32271,347.8691,175.7575,0.1387967,0.1575658,-0.3353322,317.9047,354.8155,185.4614,-0.206309,0.4389562,-0.163887,82.62586,27.54313,216.9811,0.05169358,0.4640468,-0.1256254,34.83877,357.4919,191.7755,-0.2044049,0.8049325,-0.3590581,332.8893,343.1729,187.575,-0.008129291,0.8295739,-0.3118255,335.3796,346.7368,194.0933
21,-0.1153517,0.08571526,-0.3122474,0,350.3404,0,-0.1577122,1.435884,-0.2780235,12.8521,349.25,1.651227,-0.225633,1.36753,-0.3137686,57.68002,103.6164,202.6589,-0.07746158,1.373114,-0.2973613,64.0775,238.2721,152.1589,-0.3929712,1.147154,0.03211963,29.61218,105.4408,74.93385,0.3601804,0.984313,-0.2184296,49.00401,224.2644,184.396,-0.4692019,1.144838,-0.1893913,32.44025,108.6304,89.3289,0.2542523,1.165065,-0.3232072,39.24979,232.9279,184.8351,-0.1815515,0.4451945,-0.6044201,35.66469,341.5378,164.8911,0.1367482,0.1483829,-0.3458575,314.3324,353.8008,185.5506,-0.2541903,0.4187038,-0.2311513,85.01595,205.9723,36.88024,0.04116024,0.4545818,-0.1394605,34.64505,356.6789,192.6404,-0.2106103,0.800751,-0.3866341,337.0966,342.7095,180.6357,-0.01686218,0.819371,-0.3276665,335.5558,344.4783,194.8534
22,-0.1290715,0.08683416,-0.332323,0,349.8114,0,-0.1670534,1.434819,-0.2859589,13.49602,349.0145,2.327282,-0.2341417,1.366007,-0.3221323,56.95817,105.0712,203.6658,-0.0859624,1.373358,-0.3065117,64.24187,236.5301,149.3179,-0.389006,1.189671,0.02705532,28.89708,103.2178,57.23838,0.3500373,0.9769492,-0.2645139,46.56261,223.3171,184.9898,-0.4718725,1.14862,-0.1881921,30.8922,104.9429,78.21735,0.2412627,1.164981,-0.3521656,36.5863,233.5173,181.4188,-0.2207373,0.476755,-0.659443,37.37607,333.889,153.6303,0.1373129,0.1426336,-0.3529461,312.4071,353.5471,185.6621,-0.3114011,0.4177448,-0.2939218,75.94522,217.3206,50.39838,0.03154176,0.4512824,-0.1553532,33.41906,356.511,194.197,-0.2213672,0.8048078,-0.4127088,340.0119,342.0077,173.2238,-0.03039346,0.8154167,-0.3435805,336.1146,342.6787,196.1293
23,-0.1423291,0.08816113,-0.3514993,0,349.3116,0,-0.1765513,1.432914,-0.2935166,14.07597,348.763,2.975546,-0.2428211,1.363645,-0.3300725,56.27565,106.2888,204.462,-0.0946683,1.372709,-0.3151146,64.40767,234.9258,146.7077,-0.3897831,1.229502,0.01653013,28.3596,100.5559,39.81676,0.3424933,0.9750018,-0.3050416,44.92384,222.0967,185.535,-0.4748262,1.151694,-0.1874235,29.0138,101.373,67.67928,0.2297623,1.167085,-0.3776109,34.86641,233.816,178.0473,-0.252611,0.5121443,-0.7111515,38.37903,326.5039,142.6459,0.1361437,0.1364907,-0.3581909,310.5205,353.3632,185.5959,-0.3634256,0.4232149,-0.3574291,67.12506,217.9493,53.11905,0.02111092,0.4476826,-0.1699847,32.12297,356.2179,195.5675,-0.2318559,0.8084005,-0.4371508,342.94,341.0052,166.2681,-0.04419198,0.8109207,-0.3588045,336.5928,340.9856,197.297
24,-0.160894,0.09976121,-0.3721388,0,348.9659,0,-0.1914904,1.440997,-0.3030568,14.96668,348.6061,3.57809,-0.2571775,1.371617,-0.3400418,55.8207,108.0293,205.5655,-0.1090038,1.381923,-0.3261318,64.48085,233.0805,144.2651,-0.4168492,1.272094,-0.001350433,30.39311,95.8641,22.38171,0.3289098,0.9882286,-0.3352791,44.18161,223.6815,185.5948,-0.488553,1.161125,-0.1948137,26.16484,95.01453,58.14613,0.2162454,1.182916,-0.4006561,33.6583,234.2656,176.8846,-0.2828787,0.5388497,-0.7571394,35.39575,319.2112,135.6207,0.1367065,0.1372329,-0.3590829,310.8906,353.0095,185.9212,-0.4209315,0.4489781,-0.4133774,61.59951,221.4612,60.28503,0.006920397,0.4541701,-0.1911517,29.32911,355.2664,197.6237,-0.2476431,0.8223656,-0.4642406,343.8126,339.4757,159.6179,-0.06326178,0.8172237,-0.3785708,337.6096,338.8916,198.7081
